"ชื่อเล่น ชื่อสมมติ nickname เช่น (Batman, Barbie, ณเดช etc.)",cluster_id,
เอิร์น,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
Aiden Pearce,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
WhiteRabbit,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
Lina,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
NPC,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
เง้ง,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
Nam,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
ช่างแอร์_ในตำนาน,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
ไม่กินหมา,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
ลูฟี่,0,https://line.me/ti/g2/J_8JkwQ6LSCwJRzblUmnyOl-Skve3K7CUmCG2Q
ทามมี่ที่รัก,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
จอนจองต้น,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
merson,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
HeHe...,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Lumous,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
angelcactus,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Natasha Romanof,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
TAYLOR SWIFT,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Chrysaora,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
ขงเบ้ง,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Snoopy,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Blue Butterfly,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
ช่างตู้,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Rose',1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
ผู้ล้ำเลิศในแผ่นดิน,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
Ithzzz,1,https://line.me/ti/g2/aEqUcgbN56rnjWIR9M0hZ0X8LvdKTwzaL813hQ
JOI,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
Salim,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
Bee,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
หยำฉา,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
Somkid,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
HowKnow IKnow,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
Hawking,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
a,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
POPO,2,https://line.me/ti/g2/dx2p4HlNIPZGqxiPxABtPdjqnAFEmj2-ffDdzQ
นันท์,3,https://line.me/ti/g2/bxR1JoLf8UmYNUKdYeFMdoTth78uEPEDs9Bm4Q
โกเทน,3,https://line.me/ti/g2/bxR1JoLf8UmYNUKdYeFMdoTth78uEPEDs9Bm4Q
